ProteinId	40C_0h_A	40C_0h_B	40C_0h_C	40C_0.5h_A	40C_0.5h_B	40C_0.5h_C	40C_1h_A	40C_1h_B	40C_1h_C	40C_2h_A	40C_2h_B	40C_2h_C	40C_4h_A	40C_4h_B	40C_4h_C	40C_8h_A	40C_8h_B	40C_8h_C	40C_16h_A	40C_16h_B	40C_16h_C	40C_24h_A	40C_24h_B	40C_24h_C	Synonym	MapMan	MapManDescription	GO	GODescription	Localization
Cre04.g218150.t1.2	35667114.7	36819960.43	35428345.69	49886727.8	74304421.19	45817438.21	25416184.44	26561758.43	23830147.57	35863551.67	52667258.41	29748991.93	33139297.56	24124741.6	22812830.96	31653398.02	26157152.6	27794964.34								GMM:29.4	protein.postranslational modification	GO:0006470;GO:0004722;GO:0003824	protein dephosphorylation;protein serine/threonine phosphatase activity;catalytic activity	Mitochondrion
Cre04.g222800.t1.2;Cre04.g223250.t1.1							49402076.03	59751616.39	64781901.92	58063558.62	61452905.92	47299789.19	98602638.25	96557275.16	54817759.31	120720085.8	96315066.44	85634246.88	165895063.4	112415841.2	111150712.5	168199690.6	139976298.4	154797801.4	LCID;LCIE	GMM:1.5.3;GMM:1.5.3	PS.carbon concentrating mechanism.algal;PS.carbon concentrating mechanism.algal	;	;	Mitochondrion;Mitochondrion
Cre05.g242400.t1.2	53676269.5	58621455.26	60421598.79				88145036.11	116761826.3	109388755.9	72282320.4	69095392.37	95730233.52	85940109.73	95362444.22	61098541.81	80829405.5	73919597.59	110167668.2				51282801.96	66513876.34	31845353.7	PGR5	GMM:1.1.40	PS.lightreaction.cyclic electron flow-chlororespiration			Chloroplast
Cre06.g251000.t1.2							43970307.67	56131077.75	45775743.09	29884488.39	41550659.66	33415957.75	36379877.12	37680325.91	40592640.25	36384955.89	28843632.45	38773549.1	34286238.5	43980761.76	56652630.12	51434593.33	31500337.25	48286109.36						Secretory pathway
Cre06.g252000.t1.2	56554140.93	43413453	60196311.99	51620782.95	53910665.02	57184710.46	61843746.84	35220735.57	65215495.26	46125530.71	31765510.66	52070565.13				31732314.4	26851045.47	23773593.13	25550185.66	24966210.96	25412146.88				LZTFL1					
Cre06.g262050.t1.2	46726455.79	37845288.34	32121589.38				41606770.33	41876962.51	33266340.43				30116764.69	40594833.7	37539738.01	83011710.55	48284200.44	72424381.7	57945247.55	43921882.02	55092087.23	21227621.78	40911843.41	45850901	AEP1	GMM:3.5	minor CHO metabolism.others	GO:0016853;GO:0005975	isomerase activity;carbohydrate metabolic process	Secretory pathway
Cre06.g275900.t1.2	69141461.12	94400521.51	102433591.6	73054798.02	86035995.07	70411182.05	77912819.76	59228920.14	54940002.69	86219136.01	56977226.35	70231525.69	53790760.93	68444804.06	88437768.54	59889693.89	78532978.83	65501179.42							HON3	GMM:28.1.3	DNA.synthesis/chromatin structure.histone	GO:0006334;GO:0005634;GO:0003677;GO:0000786	nucleosome assembly;nucleus;DNA binding;nucleosome	
Cre06.g278215.t1.1				52832559.92	53539660.38	47308542.92	51175692.27	20847796.48	19411704.77	42284959.61	48816605.28	58673200.51	44625244.22	44100123.7	29821072.57	61431149.87	51758071.38	56692818.93	24058624.69	30524148.44	24084372.21					GMM:13.2.6.3;GMM:13.2.3.5	amino acid metabolism.degradation.aromatic aa.tryptophan;amino acid metabolism.degradation.aspartate family.lysine	GO:0008152;GO:0003824	metabolic process;catalytic activity	
Cre06.g288500.t1.2	22907959.52	18761009.44	31204736.01	20106564.11	7788084.705	23980905.7				19329578.15	20346976.16	13106443.22	11952949.98	16055137.98	15807708.82				16675599.84	31567928.94	18626814.51	45612134.38	39897131.85	35781771.52	RRA2					Secretory pathway
Cre06.g298950.t1.2	25938054.64	20511772.04	19171746.45	32663866.4	23431611.42	25492371.86				25132275.31	12386398.6	24124039.36				31663103.89	50384765.15	20627630.22	27339424.98	28090947.23	36576458.96	40089915.67	33560107.87	31671648.29						Secretory pathway
Cre06.g304800.t1.2				15682670.4	6755281.263	12026688.21	17254126.44	18457498.96	22565181.76				31949344.02	22875680.95	15962889.21	19568590.91	18025129.1	14089489.93	26063841.72	17275216.25	23714350.83	19170610.53	27938115.7	18975595.15						
Cre07.g314650.t1.2	35914008.38	40574445.08	52402956.26	21872688.97	23186083.34	23117498.38							26194874.07	21980987.65	14277229.1	29458254.66	56180750.02	30318610.44	22613839.72	59481754.27	56375179.63	53852503.69	60848489.84	96585516.79	RECA	GMM:28.2	DNA.repair	GO:0009432;GO:0006281;GO:0005524;GO:0003697	SOS response;DNA repair;ATP binding;single-stranded DNA binding	Chloroplast
Cre07.g319300.t1.1;Cre07.g319340.t1.1	119535429.3	109833160.3	77652044.14	96387810.29	113830421.8	69441302.86	36426673.04	30532380.87	43840847.36	67279026.85	69481619.36	72248924.8							35526651.76	27072663.66	29436268.96	43127631.05	52781016.87	50700708.43	GWD1;	GMM:2.2.2.3;GMM:2.2.2.3	major CHO metabolism.degradation.starch.glucan water dikinase;major CHO metabolism.degradation.starch.glucan water dikinase	GO:0016310;GO:0016301;GO:0005524;GO:0016310;GO:0016301;GO:0005524	phosphorylation;kinase activity;ATP binding;phosphorylation;kinase activity;ATP binding	Chloroplast;
Cre07.g330200.t1.2	42729187.26	33450225.61	39401222.4	50202843.53	37856208.51	44374300.28	47637245.51	40655215.77	65432947.79	58207784.92	55241983.29	45386674.61	48765385.85	50357145.57	53456769.83	29842519.13	50360775.15	42778391.56							RSP9	GMM:31.6.1.5.1	cell.motility.eukaryotes.radial spoke.head			Secretory pathway
Cre07.g330300.t1.2	39238627.39	60004000.92	58589745.53	50553319.67	62546148.18	42142275.02	54073880.04	41436108.74	40202218.86	54951978.77	39264788.71	52441892.38	54910451.24	70037566.36	48565630.21	48165459.28	70526772.17	70528249.31								GMM:27.4	RNA.RNA binding	GO:0003676	nucleic acid binding	
Cre07.g342350.t1.2	36025409.22	15782073.42	23200874.16	36977064.04	64519072.89	46616564.18	37458289.76	25509548.3	38450907.61	28440776.78	34137103.46	42348780.84	36179447.86	35794210.51	37834127.99	54600747.35	50436583.56	29030511.27							PDE14	GMM:30.1.1	signalling.in sugar and nutrient physiology.misc	GO:0007165;GO:0004114	signal transduction;3',5'-cyclic-nucleotide phosphodiesterase activity	
Cre07.g347050.t1.2	46097902.44	39575664.32	52350419.76	41024033.8	48063947.48	55007510.39	53485237.13	44002359.89	57675582.01	46653734.72	50909146.73	37138841.08	54729914.4	32229885.67	45255198.97	55203128.76	103360955.5	60725775.78							RSP7	GMM:31.6.1.5.2	cell.motility.eukaryotes.radial spoke.stalk			
Cre07.g349250.t1.2							34332378.2	33982349.26	34432683.8	34950479.87	41244933.47	34199172.61	53626255.2	38178016.58	31643971.56	44338515.15	45879901.84	50266635.15	54398368.26	55066994.23	66247390.63	54084049.26	74503341.8	42747714.3						Secretory pathway
Cre07.g350750.t1.2							48985852.78	31044633.48	83384762.58	54457900.98	55882596.88	53089312.36	41701151.73	38877264.23	31533804.25	32461143.49	39457798.31	31755298.93	44201371.47	52128996.66	51929769.55	61938437.94	44740591.62	70053381.41	PTOX1	GMM:1.1.40	PS.lightreaction.cyclic electron flow-chlororespiration	GO:0055114;GO:0009916	oxidation-reduction process;alternative oxidase activity	
Cre07.g351650.t1.1	68178093.47	53585038.93	69612690.29	49485856.4	60608433.56	59036974.95	37152592.75	41720946.46	37232755.3	49447934.59	51965990.86	67271710.6	44075969.73	17347822.82	49511739.53				27907377.52	26742216.14	21198860.36				FAP20					
Cre07.g353550.t1.2	19799179.65	43456861.03	38863598.22	35453066.68	43145110.08	41333199.92	53701585.36	21709557.89	20222306.09				11250985.49	18192749.87	18020466.2				40119066.31	33050107.2	30726826.13	29292319.52	26362852.24	41310442.53	SUI1B	GMM:29.2.3	protein.synthesis.initiation	GO:0006413;GO:0003743	translational initiation;translation initiation factor activity	
Cre07.g354200.t1.2	25525071.1	25699722.38	23642643.19	21104161.23	39847482.15	40475961.32				25511939.83	22561246.63	29763845.02	31640501.12	32697219.38	11783364.1	34509209.71	45794511.93	43457866.98				31923135.42	23598479.08	25442525.08	GAP2	GMM:4.2.8;GMM:4.1.8;GMM:1.3.4	glycolysis.plastid branch.glyceraldehyde 3-phosphate dehydrogenase (GAP-DH);glycolysis.cytosolic branch.glyceraldehyde 3-phosphate dehydrogenase (GAP-DH);PS.calvin cycle.GAP	GO:0055114;GO:0016620	oxidation-reduction process;oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	
Cre08.g377350.t1.1	21833405.52	28559525.31	19275813.23	21379044.47	27677884.93	23313352.98	17719689.15	19261341.66	11448706.91	34810231.78	61640368.06	89688165.05	23313097.29	32492386.4	36936380.71	19373294.06	26427068.87	18532369.58							FAP180	GMM:23.4.3;GMM:23.4.2;GMM:23.4.1	nucleotide metabolism.phosphotransfer and pyrophosphatases.uridylate kinase;nucleotide metabolism.phosphotransfer and pyrophosphatases.guanylate kinase;nucleotide metabolism.phosphotransfer and pyrophosphatases.adenylate kinase	GO:0005515	protein binding	
Cre09.g386700.t1.2	55553049.31	74728003.68	59367107.27	72573250.57	101076540.1	35294481.11				118989356	138937980.3	94843960.1	125989736.8	122416544.3	35002948.03	17957446.79	17801789.07	17149507.52				76770974.26	66143747.57	60728863.65	KIN13-1	GMM:31.1	cell.organisation	GO:0008017;GO:0007018;GO:0005871;GO:0005524;GO:0003777	microtubule binding;microtubule-based movement;kinesin complex;ATP binding;microtubule motor activity	
Cre09.g388850.t1.1	116448697.5	107101710.2	105932726.9	113215246.3	97526072.55	109544225.4	89842722.66	108608132.3	89124362.21	86757002.53	101682541.7	99271064.15	65786680.68	59896558.1	76549910.48	58015023.04	46372163.69	48098215.08							FAP329	GMM:34.21;GMM:30.3;GMM:3.3	transport.calcium;signalling.calcium;minor CHO metabolism.sugar alcohols	GO:0046872;GO:0000166	metal ion binding;nucleotide binding	
Cre09.g390615.t1.1	422186000.4	477987489.3	417092137.1	373119646.3	344435894.7	370229510.4	306928957.2	301960598.3	310941533	232703179.5	257636610	192906691.2	137980108.2	194646558.9	216792749	69063528.85	72274204.03	66009320.92							FAP12	GMM:11.9.2.1	lipid metabolism.lipid degradation.lipases.triacylglycerol lipase	GO:0006629	lipid metabolic process	
Cre09.g390986.t1.1	22361399.12	31103813.91	24036404.86	17999125.89	14552645.7	23472565.85	33134226.3	35978853.78	27592310.19	15492403.8	26538555.4	35466557.88	20569249.77	20900489.66	19319986.71	19657018.18	19519226.53	17456337.4								GMM:29.1.12	protein.aa activation.aspartate-tRNA ligase	GO:0016874;GO:0006418;GO:0005524;GO:0004812;GO:0003676;GO:0000166	ligase activity;tRNA aminoacylation for protein translation;ATP binding;aminoacyl-tRNA ligase activity;nucleic acid binding;nucleotide binding	Mitochondrion
Cre09.g393728.t1.1	135541410.6	144136353.6	67474992.8	153774269.3	79979928.42	95191502.49							49590142.45	74972014.77	79982270.76	198577676.6	106429252	173479597.9	197992474.3	108660755.8	207661935.1	188584780.4	194459206.1	112343725.2		GMM:27.3.69	RNA.regulation of transcription.SET-domain transcriptional regulator family	GO:0005515	protein binding	
Cre09.g394065.t2.1;Cre09.g394065.t1.1	238711126.8	186817296.2	209005429.9	201707035.4	130631720.8	176002358.5	184873410.1	131625773	209050602.8	140691134.3	103879251.7	130637295.5	45380303.11	42813643.8	43248199.29				87777858.78	94564465.68	126528886.5				;	;	;	;	;	;
Cre09.g394251.t1.1	36291146.66	48044921.9	36040578.3	58118335.68	43408375.2	28787354.93	48443349.32	41873094.71	37018370.86	46974126.04	39441887.12	35051545.07	20099768.57	21972836.89	14372216.95	19007703.66	26898976.02	25780906.66							PF16	GMM:31.6.1.6.3	cell.motility.eukaryotes.central pair.C1	GO:0005515	protein binding	
Cre09.g394399.t1.1	63137590.28	91427071.67	92415519.2	58957874.93	69066729.51	46856707.02	41723361.03	60444125.48	90098611.9	98931654.65	38748707.71	71182997.17	48161650.46	48627129.94	50870872.69				34979445.18	36176192.28	25850992.4					GMM:27.3.99	RNA.regulation of transcription.unclassified			
Cre09.g394510.t1.1				22509966.25	17052669.69	18891900.1	51367329.11	51935395.33	46421828.92	33762573.19	28064971.75	34932720.35	59924912.63	36841752.05	63818221.79	25401707.93	36353857.37	31250816.21	24561550.95	41783608.66	30738572.88							GO:2001070	starch binding	Chloroplast
Cre09.g395250.t1.1	57644136.03	71597199.73	55037084.62	62841746.13	53461800.72	61286685.15	28109895.48	26088505.71	40111029.09	58822428.89	41506375.31	57772404.28				27441698.86	33215380.03	37889460.19	19890954.32	27089486.44	48085257.7				FAP36	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins			
Cre09.g410250.t1.1				111719423.3	157939630.8	172282606.5	166606723.7	170781584	135257033.8				144864592.9	141874859.2	136642647.4	178188401	148114282.2	101458155.9	106070877.6	182580819.7	107872355.8	150382909.1	133156275.9	111803491.3						Chloroplast
Cre-1.g2717012.t1.p1				50011915.78	45097308.86	41405900.37	26585661.28	28347365.19	23906208.32	20390353.59	22848219.23	26089889.51				28378398.12	26882238.43	24929773.63	21776340.05	17567791.51	27021648.23	17579584.59	20214422.42	15216183.58	rpl20	GMM:29.2.1.1.1.2.20	protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L20			Chloroplast
Cre10.g417500.t1.2							32889324.49	47574873.09	38478600.6	37004349.21	51879603.39	91984312.91	40275777.49	54019709.72	44190776.46	51382450.52	51085749.49	43752295.2	72598219.14	69393978.08	78288897.16	60903293.07	50282637.29	114064162.5	CYN20-5	GMM:31.3.1;GMM:29.6.3.2	cell.cycle.peptidylprolyl isomerase;protein.folding.immunophilins (IMM).cyclophilins	GO:0006457;GO:0003755;GO:0000413	protein folding;peptidyl-prolyl cis-trans isomerase activity;protein peptidyl-prolyl isomerization	Secretory pathway
Cre10.g420700.t1.2	269421459.7	235607918.5	217555973.9	232975004.6	225140397	270047947.1							260878758.1	182811794.6	247909290.4	177532030.5	189028651.3	302931705.1	381766173.4	246855098.4	335194143.8	376204787.5	303055682.3	406863122.2	ATP15	GMM:9.9	mitochondrial electron transport / ATP synthesis.F1-ATPase	GO:0046961;GO:0046933;GO:0015986;GO:0000275	proton-transporting ATPase activity, rotational mechanism;proton-transporting ATP synthase activity, rotational mechanism;ATP synthesis coupled proton transport;mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)	
Cre10.g423300.t1.1	23556637.37	21576347.82	24016448.1							29649892.05	21600726.78	25091081.71	21287140.95	55784193.09	37885854.79	48903584.15	59901119.78	73417244.09	71699951.61	80086058.03	97106391.21	107423520.6	85645179.68	132914171.3		GMM:29.5	protein.degradation			
Cre10.g424650.t1.2							19688713.14	34355087.23	28814681.8	57954981.87	65976468.07	59641307.48	73779634.95	55965835.87	64319396.97	49419131.86	37200765	41950497.66	53217029.45	65046490.42	87065309.6	70180216.11	63615885	62704805.23						Mitochondrion
Cre10.g452350.t1.1	70455233.4	83120945.7	101483261.3	62831968.82	84218480.04	71498038.99	52345665.22	80312179.28	79285187.78							53416392.15	66999282.04	100509224.8	67832350.35	58488008.47	51270121.4	89199522.83	47826185.4	102228883.6						Chloroplast
Cre10.g454250.t1.2				18477029.41	14444486.69	13419144.34	10829242.84	18056369.77	25760720.77	21553699.59	15553923.4	15806996.93	29991322.72	22580720.67	27036398.97	20525987.91	21129403.45	18318241.96	30609871.19	15178513.09	29995757.08				FKB16-9	GMM:29.6.3.1	protein.folding.immunophilins (IMM).FKBPs	GO:0006457	protein folding	Chloroplast
Cre10.g461900.t1.2	49000126.58	62740633.65	39743147.04				26922675.89	68103121.83	52947743.09	67597327.96	83167574.91	100363752.2	56191240.92	38499493	73320429.54				56979804.96	53498851.81	56621578.66	46872468.37	35793717.07	31539688.42		GMM:3.5;GMM:17.2.3	minor CHO metabolism.others;hormone metabolism.auxin.induced-regulated-responsive-activated			Chloroplast
Cre10.g466650.t1.2	75059801.73	64141871.09	77159129.41	52240178.3	116815555.6	104825139.4	69964123.77	68744449.21	38801637.5	98591150.44	88680616.52	154447388.1	41249606.37	86146631.73	70772688.15	119219439.8	89617057.43	111913492.2							FAP252			GO:0005509	calcium ion binding	
Cre11.g467612.t1.1				45960807.22	47960746.09	45223177.27				43210417.98	28900535.95	56528239.56	75575788.83	46546706.16	72860051.99	57092275.81	58252526.73	46915924.49	35559345.89	40820907.21	44223426.77	59011812.08	56495283.96	45272435.12		GMM:9.99	mitochondrial electron transport / ATP synthesis.unspecified	GO:0008168;GO:0008152	methyltransferase activity;metabolic process	Chloroplast
Cre11.g467755.t1.1	21162679.59	26445941.41	23657996.65	25638589.44	32634886.71	21939414.72				25405517.92	15697423.02	18061357.49				28739585.69	36300787.86	28446628.2	18253465.21	15112866.88	14947636.18	32095166.02	16343178.63	16748083.2		GMM:30.11;GMM:26.22	signalling.light;misc.short chain dehydrogenase/reductase (SDR)			
Cre11.g478240.t1.1	23056493.99	31027879.17	26275470.49				25782609.57	54700086.41	49345357.41	34835260.83	30989542.08	40049556.25	14125073.78	14681937.74	17650332.24				40012398.94	59072561.56	32705148.91	60364155.12	25312855.69	45994173.11		GMM:30.11.1	signalling.light.COP9 signalosome	GO:0005515	protein binding	
Cre11.g478800.t1.2	194649771.1	210099448.7	234545922.2	196518614.1	215495424.4	138389289	180184034.7	184526716.4	159870478.1	133761765.2	125037450.7	145368065.9	219516905.3	106784620.7	151191676.9	135709105.7	80557472.47	134205959.2												
Cre12.g485850.t1.2							36572735.55	30197130.92	30272609.75	47618435.81	30136886.51	39361562.32	34509787.94	37177798.25	45908510.07	33801567.52	38235267.73	24973346.99	32147310.2	34401796.38	39133578.98	44703048.9	26530716.85	25877205.62	CPLD64					Chloroplast
Cre12.g489750.t1.2	81018586.6	38295836.32	62874189.07				77386080.72	85444539.09	89342594.14	94781624.04	101457848.2	83772301.54	85944621.08	77986801.11	66928722.17				112860467.9	68407028.94	92865059.77	86804703.31	93508935.15	100593625.9	FAP52	GMM:33.99;GMM:31.6.1.10	development.unspecified;cell.motility.eukaryotes.flagellar associated proteins	GO:0005515	protein binding	
Cre12.g492750.t1.1	129886424.7	76540718.74	150860925.3	109341683.3	75591789.65	152518671.9	79237257.23	112206981.7	115116224.4				102865124.5	138200828.8	116827668.7				106908653.5	90639950.84	83015688.4	133320052.4	100029956.7	118103450.1				GO:2001070	starch binding	Chloroplast
Cre12.g494350.t1.2	74698909.4	68555382.24	72584689.04	93432815.39	38645072.59	47834032.51	90809151.32	50384962.07	73499735.28	36461060.65	29269856.29	76626217.81	25389838.71	35030270.68	17929656.94							69784550.92	106477850.4	83137847.39		GMM:28.99	DNA.unspecified	GO:0016021	integral component of membrane	Secretory pathway
Cre12.g495250.t1.1;Cre03.g156700.t1.1	43084277.46	41460490.09	38569578.59	80035693.18	42490929.76	42831987.58	54817371.18	40659500.12	40075176.7	59017696.77	101347881.4	48040680.2	65467882.5	41934492.63	66025215.21	41281892.76	33361571.41	38906172							FAP31;FAP185	GMM:31.6.1.10;GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins;cell.motility.eukaryotes.flagellar associated proteins	;	;	Chloroplast;Mitochondrion
Cre12.g497350.t1.1	87171162.53	70309066.53	68862663.59	40266497.77	44241258.13	61599429.3	56482264.19	72744955.86	30440236.91	122039196	96474611.28	77164907.5	22537703.35	28625672.33	29323345.84	68649767.51	68047165.4	57478869.34							PPR13					
Cre12.g498500.t1.2							7457205.159	11565185.07	13539732.58	46070002.7	11578165.02	8220661.111	62025192.5	86169261.11	10462606.58	80144362.66	98531742.77	98659777.63	129127344.4	197066881.5	192122522.4	502907881.3	987597306.2	955466053.7	DEG1C	GMM:29.5.5	protein.degradation.serine protease	GO:0006508;GO:0005515;GO:0004252	proteolysis;protein binding;serine-type endopeptidase activity	Mitochondrion
Cre12.g501050.t1.2	18905491.37	16977127.11	16622490.56				29884756.81	16466877.98	31547763.96				18397462.07	35039740.72	44125255.86	38674552.68	20078414.09	36546257.09	49182322.76	37371811.47	63390125.38	32534421.57	40041152.96	50635711.43	ALD6	GMM:27.1	RNA.processing			
Cre12.g503650.t1.2	25427381.27	12395286.91	26681306.28	35659229.12	40519347.67	31730597.13	27542118.64	20337977.39	24995350.2	35470995.86	21976123.79	24413237.76	32727128.54	34897267.56	35614579.14							30807970.94	30838317.72	25226464.22						Mitochondrion
Cre12.g508150.t1.2	63417252.83	73407314.46	64323374.34	57540812.09	97241108.44	75172153.36	100689114.6	26602170.52	62232385.98	54424284.33	59598380.07	84362193.27	137232990.9	111482478.7	68791205.73	59936305.05	50733100	83147673.82								GMM:28.1;GMM:27.3.44	DNA.synthesis/chromatin structure;RNA.regulation of transcription.chromatin remodeling factors	GO:0043044;GO:0031491;GO:0016818;GO:0016787;GO:0006338;GO:0005634;GO:0005524;GO:0003677;GO:0003676	ATP-dependent chromatin remodeling;nucleosome binding;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;hydrolase activity;chromatin remodeling;nucleus;ATP binding;DNA binding;nucleic acid binding	
